record_id,jurisdiction,dimension,claim_class,requirement_summary,official_or_named_source,source_url,pinpoint,source_disposition,source_check_status,source_last_checked,next_review_due,review_status,days_overdue,reviewer,second_reviewer,review_stage,reconciliation_status,review_disagreement,evidence_tier,binding_status,legal_status,effective_from,effective_until,event_id,uncertainty,decision_ready
br-vasp-monetary_sovereignty-001,BR,monetary_sovereignty,tier1_legal,"Brazil does not impose a MiCA-style volume cap on the use of non-domestic-currency (e.g. USD) stablecoins as a means of exchange. Instead it asserts monetary-sovereignty control through three mechanisms: (i) reclassifying cross-border virtual-asset payments as foreign-exchange (câmbio) operations under Lei 14.286/2021 (Res BCB 521), bringing them into the FX / balance-of-payments perimeter; (ii) per-operation caps on those FX-classified operations (USD 100k SPSAV / USD 500k FX-FI where the counterparty is not FX-authorised); and (iii) closing the eFX retail rail's external settlement leg to virtual assets (Res BCB 561), so mass low-value flows cannot settle abroad in crypto. Context: estimates of the stablecoin share of Brazilian crypto activity vary by metric and period — BCB officials have cited roughly 90% of crypto flows, while some market trackers report nearer two-thirds (~67%) of crypto volume; either way stablecoins dominate, which motivated the FX framing. [share figure to be locked to a single dated source before citing as primary].",Res BCB 521/2025 (FX reclassification + caps); Res BCB 561/2026 (eFX exclusion); Lei 14.286/2021,https://www.bcb.gov.br/estabilidadefinanceira/exibenormativo?tipo=Resolução BCB&numero=521,"Res BCB 521/2025 (amends Res 277/278/279 of 31 Dec 2022): virtual-asset services brought into the FX market — international payments/transfers, stablecoin trades, and payment of expenses abroad treated as câmbio operations; monthly reporting to the BCB from 4 May 2026",official,checked,2026-06-27,2026-07-27,stale,24,external review (web retrieval against official sources),,primary_reviewed_second_pending,not_started,,resolution_text,in_force_enacted,operative,2026-02-02,,,low,False
br-vasp-permitted_activity_yield-001,BR,permitted_activity_yield,tier1_legal,The VASP framework and the central bank's implementing rulemaking are still being finalized; whether and how issuers or intermediaries may pass through yield is not yet settled.,Lei 14.478/2022 (Marco Legal dos Ativos Virtuais); BCB implementing rulemaking,https://www.bcb.gov.br/estabilidadefinanceira/exibenormativo?tipo=Resolução BCB&numero=520,Res BCB 520/2025 (VASPs may not offer credit to clients or raise funds from the public except via share issuance; client virtual assets may not be used for proprietary operations except staking and qualified/professional-investor transactions),official,not_checked,,,unknown,,,,unreviewed,not_started,,firm_summary,in_force_enacted,operative,,,,high,False
br-vasp-regulatory_authority-001,BR,regulatory_authority,tier1_legal,"Lei 14.478/2022 (Marco Legal dos Ativos Virtuais) and Decreto 11.563/2023 designate the Banco Central do Brasil (BCB) as the authority for virtual-asset service providers (SPSAVs), while preserving the Comissão de Valores Mobiliários (CVM) jurisdiction over virtual assets that are securities (token taxonomy follows CVM Parecer de Orientação 40). The operative VASP framework is Res BCB 519/520/521 (pub. 10 Nov 2025; in force 2 Feb 2026), supplemented by Res BCB 561/2026 for the eFX rail. The foreign-exchange classification of cross-border virtual-asset payments rests on the Foreign Exchange Law, Lei 14.286/2021.",Lei 14.478/2022 (Marco Legal dos Ativos Virtuais); Decreto 11.563/2023 (BCB as VASP authority; CVM carve-out for securities tokens),https://www.planalto.gov.br/ccivil_03/_ato2019-2022/2022/lei/l14478.htm,Lei 14.478/2022 arts. 2-9; Decreto 11.563/2023 (BCB designated competent authority for virtual-asset services; CVM retains jurisdiction over tokens that are securities),official,checked,2026-06-27,2026-07-27,stale,24,external review (web retrieval against official sources),,primary_reviewed_second_pending,not_started,,resolution_text,in_force_enacted,operative,2026-02-02,,,low,False
br-vasp-reserve_backing-001,BR,reserve_backing,tier1_legal,"For a fiat-referenced virtual asset (stablecoin), Res BCB 520/2025 defines the reserve assets as the fiduciary currency plus public debt issued by the same governments that issue those currencies (Art. 2, III), requires proof of reserves, and prohibits algorithmic reserve control with public disclosure of the criteria (Arts. 64+). In force 2 Feb 2026.",Res BCB 520/2025 — stablecoin definition + asset-curation / listing-policy rules,https://www.bcb.gov.br/estabilidadefinanceira/exibenormativo?tipo=Resolução BCB&numero=520,"Res BCB 520/2025 Art. 2, III (reserve assets of a fiat-referenced token = the fiduciary currency and public debt issued by the same governments); Arts. 64+ (asset curation; algorithmic-stablecoin prohibition; proof of reserves)",official,checked,2026-06-27,2026-07-27,stale,24,external review (web retrieval against official sources),,primary_reviewed_second_pending,not_started,,resolution_text,in_force_enacted,operative,2026-02-02,,,low,False
br-vasp-securities_classification-001,BR,securities_classification,tier1_legal,"Lei 14.478/2022 and Decreto 11.563/2023 preserve CVM jurisdiction over virtual assets that are securities (valores mobiliários) and over investor-protection issues; the functional securities-vs-virtual-asset distinction follows CVM Parecer de Orientação 40. A token with collective-investment / securities characteristics is regulated by the CVM, not (only) by the BCB SPSAV regime. Brazilian investment funds — the natural routing destination — are governed by Resolução CVM 175. A USD-referenced payment stablecoin is treated by the BCB as a foreign-exchange instrument rather than a security.",Lei 14.478/2022 + Decreto 11.563/2023 (CVM carve-out); CVM Parecer de Orientação 40; Resolução CVM 175 (investment funds),https://www.planalto.gov.br/ccivil_03/_ato2019-2022/2022/lei/l14478.htm,Lei 14.478/2022; Decreto 11.563/2023 (BCB over payment/VASP activity; CVM jurisdiction preserved over tokens with securities characteristics),official,checked,2026-06-27,2026-07-27,stale,24,external review (web retrieval against official sources),,primary_reviewed_second_pending,not_started,,resolution_text,in_force_enacted,operative,2026-02-02,,,low,False
ch-frs-aml_kyc-001,CH,aml_kyc,tier1_legal,"FINMA Guidance 06/2024 imposes the strictest AML posture in the survey: the issuer must identify every holder, including intermediate holders, treating each as a customer, and anonymous transfers are prohibited. Full AMLA obligations apply and the FATF travel rule applies.",FINMA Guidance 06/2024; Anti-Money Laundering Act (AMLA),https://www.finma.ch/en/news/2024/07/20240726-m-am-06-24-stablecoins/,AML — identify every holder incl. intermediate holders; anonymous transfers prohibited,official,not_checked,,,unknown,,,,unreviewed,not_started,,resolution_text,in_force_enacted,operative,,,,low,False
ch-frs-bank_nonbank_routing-001,CH,bank_nonbank_routing,tier1_legal,"Depending on structure, stablecoin issuance may require a banking licence or operate under the DLT framework; the bank/non-bank line turns on whether deposits are accepted and how reserves are held.",Banking Act; DLT Act (2021); FINMA stablecoin guidance,,Banking-licence vs. DLT-framework routing for issuance,unavailable,source_unavailable,,,unknown,,,,unreviewed,not_started,,firm_summary,in_force_enacted,operative,,,,high,False
ch-frs-capital_requirements-001,CH,capital_requirements,tier1_legal,"For licensed-institution pathways, capital requirements apply per the Banking Act / FinTech-licence framework. For the bank-guarantee pathway there is no separate stablecoin capital schedule; the guarantee performs the protective function in place of a prescribed capital buffer.",Banking Act / FinTech-licence framework; FINMA Guidance 06/2024,https://www.fedlex.admin.ch/eli/cc/1934/121/de,Capital — per licence for licensed institutions; no separate schedule under the guarantee pathway,official,not_checked,,,unknown,,,,unreviewed,not_started,,mixed,in_force_enacted,operative,,,,medium,False
ch-frs-cross_border_data-001,CH,cross_border_data,tier1_legal,The Swiss Federal Act on Data Protection (FADP) applies (revised FADP in force September 2023). Cross-border data transfer requires adequate protection in the recipient state or appropriate safeguards. Switzerland maintains adequacy recognition with the EU.,"Federal Act on Data Protection (revised FADP, in force Sep 2023)",,Cross-border transfer — adequacy or safeguards; EU adequacy maintained,unavailable,source_unavailable,,,unknown,,,,unreviewed,not_started,,firm_summary,in_force_enacted,operative,2023-09-01,,,high,False
ch-frs-disclosure_reporting-001,CH,disclosure_reporting,tier1_legal,"FINMA guidance imposes AML, disclosure and reporting expectations on issuers, with supervisory coordination available.",FINMA stablecoin guidance; AMLA,,"AML, disclosure and supervisory reporting expectations",unavailable,source_unavailable,,,unknown,,,,unreviewed,not_started,,firm_summary,in_force_enacted,operative,,,,high,False
ch-frs-distribution-001,CH,distribution,tier1_legal,"There is no monetary-sovereignty usage cap and no distribution-volume restriction; foreign-currency stablecoins are not channel-restricted. The bank-guarantee structure and the FINMA holder-identification requirement are the practical distribution constraints, not caps.",FINMA Guidance 06/2024; Banking Act framework,https://www.finma.ch/en/news/2024/07/20240726-m-am-06-24-stablecoins/,Distribution — no caps/channel restriction; guarantee + holder-ID are the practical limits,official,not_checked,,,unknown,,,,unreviewed,not_started,,mixed,in_force_enacted,operative,,,,medium,False
ch-frs-implementation_status-001,CH,implementation_status,tier2_operational,"Guidance-in-force regime. Milestones: FINMA Guidance 06/2024 published (Jul 2024); bank-guarantee and licensed-institution pathways in operation (2024-2025); consultation on a Financial Institutions Act (FinIA) amendment creating a dedicated payment-instrument-institution licence to replace the guarantee workaround closed (6 Feb 2026); six-bank CHF stablecoin sandbox launched (8 Apr 2026). If enacted, the FinIA amendment would replace the guarantee workaround with a purpose-built regime.",FINMA Guidance 06/2024; FinIA-amendment consultation (closed 6 Feb 2026),https://www.finma.ch/en/news/2024/07/20240726-m-am-06-24-stablecoins/,Timeline — guidance Jul 2024; FinIA consultation closed 6 Feb 2026; 6-bank CHF sandbox 8 Apr 2026,official,not_checked,,,unknown,,,,unreviewed,not_started,,mixed,in_force_enacted,operative,2024-07-01,,,medium,False
ch-frs-issuer_pathway-001,CH,issuer_pathway,tier1_legal,"Two issuer pathways. Pathway 1 (licensed institution): an issuer holding a banking licence, or a FinTech licence under Art. 1b of the Banking Act, may issue stablecoins as a licensed institution. Pathway 2 (bank default-guarantee exemption): a non-bank issuer avoids the deposit-taking prohibition by securing a default guarantee (Bankengarantie) from a Swiss bank covering the deposited funds; under Banking Ordinance Art. 5(3)(f) funds covered by such a guarantee are not deposits, so the issuer is not engaged in unauthorized deposit-taking. The entire non-bank issuance market runs through this single textual aperture.",Banking Act Art. 1b (FinTech licence); Banking Ordinance Art. 5(3)(f) (deposit exclusion); FINMA Guidance 06/2024,https://www.fedlex.admin.ch/eli/cc/2014/273/de,Issuer pathways — licensed-institution vs bank-guarantee exemption (BankO Art. 5(3)(f)),official,not_checked,,,unknown,,,,unreviewed,not_started,,resolution_text,in_force_enacted,operative,,,,low,False
ch-frs-monetary_sovereignty-001,CH,monetary_sovereignty,tier1_legal,"There is no monetary-sovereignty usage cap: foreign-currency stablecoins are not restricted by volume or channel. The practical constraints are the bank-guarantee structure and the AML holder-identification requirement, not distribution caps. Switzerland thus sits at the permissive end of the C7 spectrum, in contrast to the EU's Article 23 quantitative cap, the UAE's onshore channel restriction, and the PRC prohibition.",FINMA Guidance 06/2024 (no usage cap); Banking Act framework,https://www.fedlex.admin.ch/eli/cc/2014/273/de,Monetary sovereignty — no usage cap; foreign-currency tokens unrestricted,official,not_checked,,,unknown,,,,unreviewed,not_started,,resolution_text,in_force_enacted,operative,,,,low,False
ch-frs-permitted_activity_yield-001,CH,permitted_activity_yield,tier1_legal,"Paying yield to holders is NOT prohibited — Switzerland is the clearest survey example of a regime where holder yield is permitted but structurally constrained. Under the bank-guarantee pathway the guarantee must cover any interest earned, so the cost of offering yield is the cost of guaranteeing it; the protective mechanism scales with the yield offered. This contrasts sharply with the prohibition cluster (EU Art. 50; HK Sched. 2 s.15; US GENIUS Act § 4(a)(11)).",FINMA Guidance 06/2024; Banking Ordinance Art. 5(3)(f),https://www.finma.ch/en/news/2024/07/20240726-m-am-06-24-stablecoins/,"Yield permitted; bank guarantee must cover interest (structural constraint, not prohibition)",official,not_checked,,,unknown,,,,unreviewed,not_started,,resolution_text,in_force_enacted,operative,,,,low,False
