claim_id,claim_type,claim_text,record_ids,source_urls,pinpoint,evidence_tier,binding_status,freshness,review_stage,allowed_use,uncertainty,reviewer,second_reviewer,review_date,status,strength,limitation
claim-ae-pt-securities_classification-001,record_level_legal_proposition,Payment tokens are regulated by the CBUAE as payment instruments under the Payment Token Services Regulation; securities are a separate perimeter under the SCA.,ae-pt-securities_classification-001,,Payment-token perimeter (CBUAE) vs. securities (SCA),firm_summary,in_force_enacted,unknown,unreviewed,research_inventory_only,high,,,,pending_independent_review,limited,"Not a current-law claim unless official, current and independently reconciled; inspect the record uncertainty and legal-force fields."
claim-br-vasp-aml_kyc-001,record_level_legal_proposition,"Res BCB 520 Art. 44 internalises the FATF Travel Rule as a domestic obligation: for each transfer the originator's institution must transmit complete data on the originator (name, CPF/CNPJ, account) and the beneficiary, including wallet addresses, plus suspicious-activity reporting and AML/CTF (PLD/FT) governance. Res BCB 521 adds Know-Your-Transaction (KYT) duties, requiring identification of self-hosted-wallet owners. Travel-Rule implementation is phased over two stages (Art. 89): first domestic transfers between Brazil-established PSAVs (by February 2027), then international transfers (full compliance by 2 February 2028); during the phase-in SPSAVs may rely on documented client self-declarations. Separately, Art. 88 is the authorisation adjustment/transition provision (the 270-day 'período de adequação' for entities already operating at entry into force), which carries general compliance obligations — internal controls, cybersecurity, and Law 13.810/2019 (UN Security Council sanctions) screening — but is NOT itself the Travel-Rule hook.",br-vasp-aml_kyc-001,https://www.bcb.gov.br/estabilidadefinanceira/exibenormativo?tipo=Resolução BCB&numero=520,Res BCB 520/2025 (PLD/FTP obligations on SPSAVs; ≥3 responsible administrators including AML/CFT; GAFI Recs 15-16 alignment); Lei 14.478/2022,resolution_text,in_force_enacted,stale,primary_reviewed_second_pending,research_inventory_only,low,external review (web retrieval against official sources),,2026-06-27,pending_independent_review,limited,"Not a current-law claim unless official, current and independently reconciled; inspect the record uncertainty and legal-force fields."
claim-br-vasp-bank_nonbank_routing-001,record_level_legal_proposition,Virtual-asset services are supervised by the Banco Central do Brasil; issuance and distribution run through authorized payment/virtual-asset service providers under the central bank's prudential perimeter.,br-vasp-bank_nonbank_routing-001,https://www.bcb.gov.br/estabilidadefinanceira/exibenormativo?tipo=Resolução BCB&numero=520,"Res BCB 520/2025 Art. 20 (besides SPSAVs, only commercial/exchange/investment/multiple banks, Caixa, CTVM/DTVM and FX brokers may provide intermediation/custody, with restrictions); Art. 4 (SPSAV modalities)",resolution_text,in_force_enacted,stale,primary_reviewed_second_pending,research_inventory_only,low,external review (web retrieval against official sources),,2026-06-27,pending_independent_review,limited,"Not a current-law claim unless official, current and independently reconciled; inspect the record uncertainty and legal-force fields."
claim-br-vasp-capital_requirements-001,record_level_legal_proposition,"Minimum capital for SPSAVs is set by Resolução Conjunta CMN/BCB nº 14/2025 and Res BCB 517/2025 (both 3 Nov 2025), scaled by activity/modality. Per the BCB's 10 Nov 2025 press conference the range is R$10,800,000–R$37,200,000 (ANBIMA: 'VASPs must now hold R$10.8 million to R$37.2 million in minimum capital'). Res BCB 519/520 do not hard-code a capital figure; they cross-refer to this methodology. FX-authorised institutions (banks, DTVM/CTVM, corretoras de câmbio) remain subject to their existing prudential regimes. IMPORTANT: the frequently-cited R$1m–3m (~USD 181,500–544,500) range was the REJECTED 2024 public-consultation (CP 109/110) proposal, NOT the binding regime.",br-vasp-capital_requirements-001,https://www.bcb.gov.br/estabilidadefinanceira/exibenormativo?tipo=Resolução BCB&numero=517,"Resolução Conjunta CMN/BCB nº 14/2025 + Res BCB nº 517/2025 (both 3 Nov 2025): minimum capital R$10,800,000 to R$37,200,000 scaled by the set of activities performed",resolution_text,in_force_enacted,stale,primary_reviewed_second_pending,research_inventory_only,low,external review (web retrieval against official sources),,2026-06-27,pending_independent_review,limited,"Not a current-law claim unless official, current and independently reconciled; inspect the record uncertainty and legal-force fields."
claim-br-vasp-cross_border_data-001,record_level_legal_proposition,"Res BCB 521 integrates authorised SPSAVs' virtual-asset international payments and transfers into the Brazilian foreign-exchange (câmbio) market, regulating the Foreign Exchange Law (Lei 14.286/2021). In scope: international payment/transfer with virtual assets; settlement of international card obligations; transfers to/from self-hosted wallets; and purchase/sale/exchange of fiat-referenced virtual assets. Each operation carries a per-operation cap that binds when the foreign counterparty is NOT authorised to operate in the Brazilian FX market: USD 100,000 for an SPSAV and USD 500,000 for an FX-authorised institution (bank / DTVM / CTVM / corretora de câmbio). Operations require purpose classification under BCB FX codes, identification/traceability of parties (KYT), and identification of self-hosted-wallet owners; cash settlement is prohibited.",br-vasp-cross_border_data-001,https://www.bcb.gov.br/estabilidadefinanceira/exibenormativo?tipo=Resolu%C3%A7%C3%A3o%20BCB&numero=521,"Res BCB 521 — per-operation caps (USD 100k SPSAV / USD 500k FX-FI when counterparty not FX-authorised); amends the Res 277/278/279 FX trio, inserting Art. 76-A into Res 277/2022 as the câmbio-inclusion hook (legal base: Lei 14.286/2021)",firm_summary,in_force_enacted,unknown,unreviewed,research_inventory_only,high,,,,pending_independent_review,limited,"Not a current-law claim unless official, current and independently reconciled; inspect the record uncertainty and legal-force fields."
claim-br-vasp-custody-001,record_level_legal_proposition,"Res BCB 520 requires mandatory patrimonial segregation: client funds — both fiat and virtual assets — must be fully segregated from the SPSAV's own funds, held in accounts/wallets distinct from corporate treasury, demonstrable beyond accounting records. Custody may be outsourced to a licensed custodian, but regulatory accountability cannot be transferred. (Sources also report a limited own-asset liquidity carve-out and conditions for using foreign custodians; the specific percentage and the foreign-custodian conditions remain to be confirmed against the resolution text.)",br-vasp-custody-001,https://www.bcb.gov.br/estabilidadefinanceira/exibenormativo?tipo=Resolução BCB&numero=520,"Res BCB 520/2025 (patrimonial segregation: client funds in individualised payment/deposit accounts; client virtual assets in segregated wallets; foreign-custodian conditions — home-country authorisation/supervision, Brazil representative, enforceable guarantees, formal segregation of Brazilian clients' assets)",resolution_text,in_force_enacted,stale,primary_reviewed_second_pending,research_inventory_only,low,external review (web retrieval against official sources),,2026-06-27,pending_independent_review,limited,"Not a current-law claim unless official, current and independently reconciled; inspect the record uncertainty and legal-force fields."
claim-br-vasp-disclosure_reporting-001,record_level_legal_proposition,"Res BCB 520 requires SPSAVs to document proof-of-reserves methods and to publish reports and reserve attestations, with an independent audit on a biennial basis (sources: 'biennial / biannual independent audit cycle'). Res BCB 521 Art. 82-A adds mandatory monthly reporting to the BCB of all FX transactions and international transfers involving virtual assets (including self-hosted-wallet data and counterparty identification), following the model used for traditional international transactions; the information is reported per 'Anexo II-A' and the obligation commences 4 May 2026. Instrução Normativa BCB 701 (22 Jan 2026) sets the form of the independent technical certification for intermediation/custody.",br-vasp-disclosure_reporting-001,https://www.bcb.gov.br/estabilidadefinanceira/exibenormativo?tipo=Resolução BCB&numero=520,Res BCB 520/2025 (proof of reserves; periodic audits; transparent information flows); Res BCB 521/2025 (monthly FX-operations reporting from 4 May 2026),resolution_text,in_force_enacted,stale,primary_reviewed_second_pending,research_inventory_only,low,external review (web retrieval against official sources),,2026-06-27,pending_independent_review,limited,"Not a current-law claim unless official, current and independently reconciled; inspect the record uncertainty and legal-force fields."
claim-br-vasp-issuer_pathway-001,record_level_legal_proposition,"Providing virtual-asset services in Brazil requires prior BCB authorisation as an SPSAV. Under Res BCB 520 Art. 4 there are three modalities — Intermediário, Custodiante and Corretor (intermediary / custodian / broker, the broker combining both functions); a provider may not accumulate incompatible functions. Already-regulated institutions may also offer virtual-asset services on notification to the BCB: commercial / investment / multiple banks, Caixa Econômica Federal, and securities brokers (CTVM), distributors (DTVM) and FX dealers (corretoras de câmbio). Overseas providers must be authorised before operating, requiring a local subsidiary or partnership with a licensed local entity. Grandfathering: providers operating before 2 Feb 2026 may continue while authorisation is processed (apply within ~260–270 days), but transactions with non-authorised providers are prohibited from 30 Oct 2026, after which a non-compliant provider must cease within 30 days.",br-vasp-issuer_pathway-001,https://www.bcb.gov.br/estabilidadefinanceira/exibenormativo?tipo=Resolução BCB&numero=519,"Lei 14.478/2022 (BCB authorisation required to provide virtual-asset services); Res BCB 519/2025 (authorisation process); Res BCB 520/2025 Art. 4 (three SPSAV modalities: intermediária, custodiante, corretora), Art. 14 (sociedade limitada/anônima; ≥3 administrators; head office in Brazil); authorisation deadline 30 Oct 2026 (270 days)",resolution_text,in_force_enacted,stale,primary_reviewed_second_pending,research_inventory_only,low,external review (web retrieval against official sources),,2026-06-27,pending_independent_review,limited,"Not a current-law claim unless official, current and independently reconciled; inspect the record uncertainty and legal-force fields."
claim-br-vasp-monetary_sovereignty-001,record_level_legal_proposition,"Brazil does not impose a MiCA-style volume cap on the use of non-domestic-currency (e.g. USD) stablecoins as a means of exchange. Instead it asserts monetary-sovereignty control through three mechanisms: (i) reclassifying cross-border virtual-asset payments as foreign-exchange (câmbio) operations under Lei 14.286/2021 (Res BCB 521), bringing them into the FX / balance-of-payments perimeter; (ii) per-operation caps on those FX-classified operations (USD 100k SPSAV / USD 500k FX-FI where the counterparty is not FX-authorised); and (iii) closing the eFX retail rail's external settlement leg to virtual assets (Res BCB 561), so mass low-value flows cannot settle abroad in crypto. Context: estimates of the stablecoin share of Brazilian crypto activity vary by metric and period — BCB officials have cited roughly 90% of crypto flows, while some market trackers report nearer two-thirds (~67%) of crypto volume; either way stablecoins dominate, which motivated the FX framing. [share figure to be locked to a single dated source before citing as primary].",br-vasp-monetary_sovereignty-001,https://www.bcb.gov.br/estabilidadefinanceira/exibenormativo?tipo=Resolução BCB&numero=521,"Res BCB 521/2025 (amends Res 277/278/279 of 31 Dec 2022): virtual-asset services brought into the FX market — international payments/transfers, stablecoin trades, and payment of expenses abroad treated as câmbio operations; monthly reporting to the BCB from 4 May 2026",resolution_text,in_force_enacted,stale,primary_reviewed_second_pending,research_inventory_only,low,external review (web retrieval against official sources),,2026-06-27,pending_independent_review,limited,"Not a current-law claim unless official, current and independently reconciled; inspect the record uncertainty and legal-force fields."
claim-br-vasp-permitted_activity_yield-001,record_level_legal_proposition,The VASP framework and the central bank's implementing rulemaking are still being finalized; whether and how issuers or intermediaries may pass through yield is not yet settled.,br-vasp-permitted_activity_yield-001,https://www.bcb.gov.br/estabilidadefinanceira/exibenormativo?tipo=Resolução BCB&numero=520,Res BCB 520/2025 (VASPs may not offer credit to clients or raise funds from the public except via share issuance; client virtual assets may not be used for proprietary operations except staking and qualified/professional-investor transactions),firm_summary,in_force_enacted,unknown,unreviewed,research_inventory_only,high,,,,pending_independent_review,limited,"Not a current-law claim unless official, current and independently reconciled; inspect the record uncertainty and legal-force fields."
claim-br-vasp-regulatory_authority-001,record_level_legal_proposition,"Lei 14.478/2022 (Marco Legal dos Ativos Virtuais) and Decreto 11.563/2023 designate the Banco Central do Brasil (BCB) as the authority for virtual-asset service providers (SPSAVs), while preserving the Comissão de Valores Mobiliários (CVM) jurisdiction over virtual assets that are securities (token taxonomy follows CVM Parecer de Orientação 40). The operative VASP framework is Res BCB 519/520/521 (pub. 10 Nov 2025; in force 2 Feb 2026), supplemented by Res BCB 561/2026 for the eFX rail. The foreign-exchange classification of cross-border virtual-asset payments rests on the Foreign Exchange Law, Lei 14.286/2021.",br-vasp-regulatory_authority-001,https://www.planalto.gov.br/ccivil_03/_ato2019-2022/2022/lei/l14478.htm,Lei 14.478/2022 arts. 2-9; Decreto 11.563/2023 (BCB designated competent authority for virtual-asset services; CVM retains jurisdiction over tokens that are securities),resolution_text,in_force_enacted,stale,primary_reviewed_second_pending,research_inventory_only,low,external review (web retrieval against official sources),,2026-06-27,pending_independent_review,limited,"Not a current-law claim unless official, current and independently reconciled; inspect the record uncertainty and legal-force fields."
claim-br-vasp-reserve_backing-001,record_level_legal_proposition,"For a fiat-referenced virtual asset (stablecoin), Res BCB 520/2025 defines the reserve assets as the fiduciary currency plus public debt issued by the same governments that issue those currencies (Art. 2, III), requires proof of reserves, and prohibits algorithmic reserve control with public disclosure of the criteria (Arts. 64+). In force 2 Feb 2026.",br-vasp-reserve_backing-001,https://www.bcb.gov.br/estabilidadefinanceira/exibenormativo?tipo=Resolução BCB&numero=520,"Res BCB 520/2025 Art. 2, III (reserve assets of a fiat-referenced token = the fiduciary currency and public debt issued by the same governments); Arts. 64+ (asset curation; algorithmic-stablecoin prohibition; proof of reserves)",resolution_text,in_force_enacted,stale,primary_reviewed_second_pending,research_inventory_only,low,external review (web retrieval against official sources),,2026-06-27,pending_independent_review,limited,"Not a current-law claim unless official, current and independently reconciled; inspect the record uncertainty and legal-force fields."
claim-br-vasp-securities_classification-001,record_level_legal_proposition,"Lei 14.478/2022 and Decreto 11.563/2023 preserve CVM jurisdiction over virtual assets that are securities (valores mobiliários) and over investor-protection issues; the functional securities-vs-virtual-asset distinction follows CVM Parecer de Orientação 40. A token with collective-investment / securities characteristics is regulated by the CVM, not (only) by the BCB SPSAV regime. Brazilian investment funds — the natural routing destination — are governed by Resolução CVM 175. A USD-referenced payment stablecoin is treated by the BCB as a foreign-exchange instrument rather than a security.",br-vasp-securities_classification-001,https://www.planalto.gov.br/ccivil_03/_ato2019-2022/2022/lei/l14478.htm,Lei 14.478/2022; Decreto 11.563/2023 (BCB over payment/VASP activity; CVM jurisdiction preserved over tokens with securities characteristics),resolution_text,in_force_enacted,stale,primary_reviewed_second_pending,research_inventory_only,low,external review (web retrieval against official sources),,2026-06-27,pending_independent_review,limited,"Not a current-law claim unless official, current and independently reconciled; inspect the record uncertainty and legal-force fields."
claim-ch-frs-aml_kyc-001,record_level_legal_proposition,"FINMA Guidance 06/2024 imposes the strictest AML posture in the survey: the issuer must identify every holder, including intermediate holders, treating each as a customer, and anonymous transfers are prohibited. Full AMLA obligations apply and the FATF travel rule applies.",ch-frs-aml_kyc-001,https://www.finma.ch/en/news/2024/07/20240726-m-am-06-24-stablecoins/,AML — identify every holder incl. intermediate holders; anonymous transfers prohibited,resolution_text,in_force_enacted,unknown,unreviewed,research_inventory_only,low,,,,pending_independent_review,limited,"Not a current-law claim unless official, current and independently reconciled; inspect the record uncertainty and legal-force fields."
claim-ch-frs-bank_nonbank_routing-001,record_level_legal_proposition,"Depending on structure, stablecoin issuance may require a banking licence or operate under the DLT framework; the bank/non-bank line turns on whether deposits are accepted and how reserves are held.",ch-frs-bank_nonbank_routing-001,,Banking-licence vs. DLT-framework routing for issuance,firm_summary,in_force_enacted,unknown,unreviewed,research_inventory_only,high,,,,pending_independent_review,limited,"Not a current-law claim unless official, current and independently reconciled; inspect the record uncertainty and legal-force fields."
claim-ch-frs-capital_requirements-001,record_level_legal_proposition,"For licensed-institution pathways, capital requirements apply per the Banking Act / FinTech-licence framework. For the bank-guarantee pathway there is no separate stablecoin capital schedule; the guarantee performs the protective function in place of a prescribed capital buffer.",ch-frs-capital_requirements-001,https://www.fedlex.admin.ch/eli/cc/1934/121/de,Capital — per licence for licensed institutions; no separate schedule under the guarantee pathway,mixed,in_force_enacted,unknown,unreviewed,research_inventory_only,medium,,,,pending_independent_review,limited,"Not a current-law claim unless official, current and independently reconciled; inspect the record uncertainty and legal-force fields."
claim-ch-frs-cross_border_data-001,record_level_legal_proposition,The Swiss Federal Act on Data Protection (FADP) applies (revised FADP in force September 2023). Cross-border data transfer requires adequate protection in the recipient state or appropriate safeguards. Switzerland maintains adequacy recognition with the EU.,ch-frs-cross_border_data-001,,Cross-border transfer — adequacy or safeguards; EU adequacy maintained,firm_summary,in_force_enacted,unknown,unreviewed,research_inventory_only,high,,,,pending_independent_review,limited,"Not a current-law claim unless official, current and independently reconciled; inspect the record uncertainty and legal-force fields."
claim-ch-frs-disclosure_reporting-001,record_level_legal_proposition,"FINMA guidance imposes AML, disclosure and reporting expectations on issuers, with supervisory coordination available.",ch-frs-disclosure_reporting-001,,"AML, disclosure and supervisory reporting expectations",firm_summary,in_force_enacted,unknown,unreviewed,research_inventory_only,high,,,,pending_independent_review,limited,"Not a current-law claim unless official, current and independently reconciled; inspect the record uncertainty and legal-force fields."
claim-ch-frs-distribution-001,record_level_legal_proposition,"There is no monetary-sovereignty usage cap and no distribution-volume restriction; foreign-currency stablecoins are not channel-restricted. The bank-guarantee structure and the FINMA holder-identification requirement are the practical distribution constraints, not caps.",ch-frs-distribution-001,https://www.finma.ch/en/news/2024/07/20240726-m-am-06-24-stablecoins/,Distribution — no caps/channel restriction; guarantee + holder-ID are the practical limits,mixed,in_force_enacted,unknown,unreviewed,research_inventory_only,medium,,,,pending_independent_review,limited,"Not a current-law claim unless official, current and independently reconciled; inspect the record uncertainty and legal-force fields."
claim-ch-frs-implementation_status-001,record_level_legal_proposition,"Guidance-in-force regime. Milestones: FINMA Guidance 06/2024 published (Jul 2024); bank-guarantee and licensed-institution pathways in operation (2024-2025); consultation on a Financial Institutions Act (FinIA) amendment creating a dedicated payment-instrument-institution licence to replace the guarantee workaround closed (6 Feb 2026); six-bank CHF stablecoin sandbox launched (8 Apr 2026). If enacted, the FinIA amendment would replace the guarantee workaround with a purpose-built regime.",ch-frs-implementation_status-001,https://www.finma.ch/en/news/2024/07/20240726-m-am-06-24-stablecoins/,Timeline — guidance Jul 2024; FinIA consultation closed 6 Feb 2026; 6-bank CHF sandbox 8 Apr 2026,mixed,in_force_enacted,unknown,unreviewed,research_inventory_only,medium,,,,pending_independent_review,limited,"Not a current-law claim unless official, current and independently reconciled; inspect the record uncertainty and legal-force fields."
claim-ch-frs-issuer_pathway-001,record_level_legal_proposition,"Two issuer pathways. Pathway 1 (licensed institution): an issuer holding a banking licence, or a FinTech licence under Art. 1b of the Banking Act, may issue stablecoins as a licensed institution. Pathway 2 (bank default-guarantee exemption): a non-bank issuer avoids the deposit-taking prohibition by securing a default guarantee (Bankengarantie) from a Swiss bank covering the deposited funds; under Banking Ordinance Art. 5(3)(f) funds covered by such a guarantee are not deposits, so the issuer is not engaged in unauthorized deposit-taking. The entire non-bank issuance market runs through this single textual aperture.",ch-frs-issuer_pathway-001,https://www.fedlex.admin.ch/eli/cc/2014/273/de,Issuer pathways — licensed-institution vs bank-guarantee exemption (BankO Art. 5(3)(f)),resolution_text,in_force_enacted,unknown,unreviewed,research_inventory_only,low,,,,pending_independent_review,limited,"Not a current-law claim unless official, current and independently reconciled; inspect the record uncertainty and legal-force fields."
claim-ch-frs-monetary_sovereignty-001,record_level_legal_proposition,"There is no monetary-sovereignty usage cap: foreign-currency stablecoins are not restricted by volume or channel. The practical constraints are the bank-guarantee structure and the AML holder-identification requirement, not distribution caps. Switzerland thus sits at the permissive end of the C7 spectrum, in contrast to the EU's Article 23 quantitative cap, the UAE's onshore channel restriction, and the PRC prohibition.",ch-frs-monetary_sovereignty-001,https://www.fedlex.admin.ch/eli/cc/2014/273/de,Monetary sovereignty — no usage cap; foreign-currency tokens unrestricted,resolution_text,in_force_enacted,unknown,unreviewed,research_inventory_only,low,,,,pending_independent_review,limited,"Not a current-law claim unless official, current and independently reconciled; inspect the record uncertainty and legal-force fields."
claim-ch-frs-permitted_activity_yield-001,record_level_legal_proposition,"Paying yield to holders is NOT prohibited — Switzerland is the clearest survey example of a regime where holder yield is permitted but structurally constrained. Under the bank-guarantee pathway the guarantee must cover any interest earned, so the cost of offering yield is the cost of guaranteeing it; the protective mechanism scales with the yield offered. This contrasts sharply with the prohibition cluster (EU Art. 50; HK Sched. 2 s.15; US GENIUS Act § 4(a)(11)).",ch-frs-permitted_activity_yield-001,https://www.finma.ch/en/news/2024/07/20240726-m-am-06-24-stablecoins/,"Yield permitted; bank guarantee must cover interest (structural constraint, not prohibition)",resolution_text,in_force_enacted,unknown,unreviewed,research_inventory_only,low,,,,pending_independent_review,limited,"Not a current-law claim unless official, current and independently reconciled; inspect the record uncertainty and legal-force fields."
