case_id,jurisdiction,dimension,primary_codes,primary_coder,second_codes,second_coder,agreement_status,reconciliation_status,evidence_excerpt
ae-pt-regulatory_authority-001,AE,regulatory_authority,freshness_unknown|independent_review_gap|event_model_gap,deterministic_ruleset_v1,,,pending_independent_coder,not_started,"The UAE operates a federal-versus-free-zone split. Onshore, the Central Bank of the UAE (CBUAE) Payment Token Services Regulation (PTSR, Circular 2/2024) governs payment-token issuance and use. The financial free zones run their own fiat-re"
ae-pt-reserve_backing-001,AE,reserve_backing,freshness_unknown|independent_review_gap|event_model_gap,deterministic_ruleset_v1,,,pending_independent_coder,not_started,"Onshore: 100% backing, segregated in UAE banks. The bank-subsidiary option requires at least 50% cash plus UAE government bonds / CBUAE monetary bills. Free-zone frameworks impose their own reserve requirements (e.g., the ADGM FRT framework"
ae-pt-securities_classification-001,AE,securities_classification,source_acquisition_gap|freshness_unknown|independent_review_gap|event_model_gap,deterministic_ruleset_v1,,,pending_independent_coder,not_started,Payment tokens are regulated by the CBUAE as payment instruments under the Payment Token Services Regulation; securities are a separate perimeter under the SCA.
br-vasp-aml_kyc-001,BR,aml_kyc,freshness_sla_breach|independent_review_gap|event_model_gap,deterministic_ruleset_v1,,,pending_independent_coder,not_started,"Res BCB 520 Art. 44 internalises the FATF Travel Rule as a domestic obligation: for each transfer the originator's institution must transmit complete data on the originator (name, CPF/CNPJ, account) and the beneficiary, including wallet add"
br-vasp-bank_nonbank_routing-001,BR,bank_nonbank_routing,freshness_sla_breach|independent_review_gap|event_model_gap,deterministic_ruleset_v1,,,pending_independent_coder,not_started,Virtual-asset services are supervised by the Banco Central do Brasil; issuance and distribution run through authorized payment/virtual-asset service providers under the central bank's prudential perimeter.
br-vasp-capital_requirements-001,BR,capital_requirements,freshness_sla_breach|independent_review_gap|event_model_gap,deterministic_ruleset_v1,,,pending_independent_coder,not_started,"Minimum capital for SPSAVs is set by Resolução Conjunta CMN/BCB nº 14/2025 and Res BCB 517/2025 (both 3 Nov 2025), scaled by activity/modality. Per the BCB's 10 Nov 2025 press conference the range is R$10,800,000–R$37,200,000 (ANBIMA: 'VASP"
br-vasp-cross_border_data-001,BR,cross_border_data,freshness_unknown|independent_review_gap|event_model_gap,deterministic_ruleset_v1,,,pending_independent_coder,not_started,"Res BCB 521 integrates authorised SPSAVs' virtual-asset international payments and transfers into the Brazilian foreign-exchange (câmbio) market, regulating the Foreign Exchange Law (Lei 14.286/2021). In scope: international payment/transfe"
br-vasp-custody-001,BR,custody,freshness_sla_breach|independent_review_gap|event_model_gap,deterministic_ruleset_v1,,,pending_independent_coder,not_started,"Res BCB 520 requires mandatory patrimonial segregation: client funds — both fiat and virtual assets — must be fully segregated from the SPSAV's own funds, held in accounts/wallets distinct from corporate treasury, demonstrable beyond accoun"
br-vasp-disclosure_reporting-001,BR,disclosure_reporting,freshness_sla_breach|independent_review_gap|event_model_gap,deterministic_ruleset_v1,,,pending_independent_coder,not_started,"Res BCB 520 requires SPSAVs to document proof-of-reserves methods and to publish reports and reserve attestations, with an independent audit on a biennial basis (sources: 'biennial / biannual independent audit cycle'). Res BCB 521 Art. 82-A"
br-vasp-issuer_pathway-001,BR,issuer_pathway,freshness_sla_breach|independent_review_gap|event_model_gap,deterministic_ruleset_v1,,,pending_independent_coder,not_started,"Providing virtual-asset services in Brazil requires prior BCB authorisation as an SPSAV. Under Res BCB 520 Art. 4 there are three modalities — Intermediário, Custodiante and Corretor (intermediary / custodian / broker, the broker combining "
br-vasp-monetary_sovereignty-001,BR,monetary_sovereignty,freshness_sla_breach|independent_review_gap|event_model_gap,deterministic_ruleset_v1,,,pending_independent_coder,not_started,Brazil does not impose a MiCA-style volume cap on the use of non-domestic-currency (e.g. USD) stablecoins as a means of exchange. Instead it asserts monetary-sovereignty control through three mechanisms: (i) reclassifying cross-border virtu
br-vasp-permitted_activity_yield-001,BR,permitted_activity_yield,freshness_unknown|independent_review_gap|event_model_gap,deterministic_ruleset_v1,,,pending_independent_coder,not_started,The VASP framework and the central bank's implementing rulemaking are still being finalized; whether and how issuers or intermediaries may pass through yield is not yet settled.
br-vasp-regulatory_authority-001,BR,regulatory_authority,freshness_sla_breach|independent_review_gap|event_model_gap,deterministic_ruleset_v1,,,pending_independent_coder,not_started,"Lei 14.478/2022 (Marco Legal dos Ativos Virtuais) and Decreto 11.563/2023 designate the Banco Central do Brasil (BCB) as the authority for virtual-asset service providers (SPSAVs), while preserving the Comissão de Valores Mobiliários (CVM) "
br-vasp-reserve_backing-001,BR,reserve_backing,freshness_sla_breach|independent_review_gap|event_model_gap,deterministic_ruleset_v1,,,pending_independent_coder,not_started,"For a fiat-referenced virtual asset (stablecoin), Res BCB 520/2025 defines the reserve assets as the fiduciary currency plus public debt issued by the same governments that issue those currencies (Art. 2, III), requires proof of reserves, a"
br-vasp-securities_classification-001,BR,securities_classification,freshness_sla_breach|independent_review_gap|event_model_gap,deterministic_ruleset_v1,,,pending_independent_coder,not_started,Lei 14.478/2022 and Decreto 11.563/2023 preserve CVM jurisdiction over virtual assets that are securities (valores mobiliários) and over investor-protection issues; the functional securities-vs-virtual-asset distinction follows CVM Parecer 
ch-frs-aml_kyc-001,CH,aml_kyc,freshness_unknown|independent_review_gap|event_model_gap,deterministic_ruleset_v1,,,pending_independent_coder,not_started,"FINMA Guidance 06/2024 imposes the strictest AML posture in the survey: the issuer must identify every holder, including intermediate holders, treating each as a customer, and anonymous transfers are prohibited. Full AMLA obligations apply "
ch-frs-bank_nonbank_routing-001,CH,bank_nonbank_routing,source_acquisition_gap|freshness_unknown|independent_review_gap|event_model_gap,deterministic_ruleset_v1,,,pending_independent_coder,not_started,"Depending on structure, stablecoin issuance may require a banking licence or operate under the DLT framework; the bank/non-bank line turns on whether deposits are accepted and how reserves are held."
ch-frs-capital_requirements-001,CH,capital_requirements,freshness_unknown|independent_review_gap|event_model_gap,deterministic_ruleset_v1,,,pending_independent_coder,not_started,"For licensed-institution pathways, capital requirements apply per the Banking Act / FinTech-licence framework. For the bank-guarantee pathway there is no separate stablecoin capital schedule; the guarantee performs the protective function i"
ch-frs-cross_border_data-001,CH,cross_border_data,source_acquisition_gap|freshness_unknown|independent_review_gap|event_model_gap,deterministic_ruleset_v1,,,pending_independent_coder,not_started,The Swiss Federal Act on Data Protection (FADP) applies (revised FADP in force September 2023). Cross-border data transfer requires adequate protection in the recipient state or appropriate safeguards. Switzerland maintains adequacy recogni
ch-frs-disclosure_reporting-001,CH,disclosure_reporting,source_acquisition_gap|freshness_unknown|independent_review_gap|event_model_gap,deterministic_ruleset_v1,,,pending_independent_coder,not_started,"FINMA guidance imposes AML, disclosure and reporting expectations on issuers, with supervisory coordination available."
ch-frs-distribution-001,CH,distribution,freshness_unknown|independent_review_gap|event_model_gap,deterministic_ruleset_v1,,,pending_independent_coder,not_started,There is no monetary-sovereignty usage cap and no distribution-volume restriction; foreign-currency stablecoins are not channel-restricted. The bank-guarantee structure and the FINMA holder-identification requirement are the practical distr
ch-frs-implementation_status-001,CH,implementation_status,freshness_unknown|independent_review_gap|event_model_gap,deterministic_ruleset_v1,,,pending_independent_coder,not_started,Guidance-in-force regime. Milestones: FINMA Guidance 06/2024 published (Jul 2024); bank-guarantee and licensed-institution pathways in operation (2024-2025); consultation on a Financial Institutions Act (FinIA) amendment creating a dedicate
ch-frs-issuer_pathway-001,CH,issuer_pathway,freshness_unknown|independent_review_gap|event_model_gap,deterministic_ruleset_v1,,,pending_independent_coder,not_started,"Two issuer pathways. Pathway 1 (licensed institution): an issuer holding a banking licence, or a FinTech licence under Art. 1b of the Banking Act, may issue stablecoins as a licensed institution. Pathway 2 (bank default-guarantee exemption)"
ch-frs-monetary_sovereignty-001,CH,monetary_sovereignty,freshness_unknown|independent_review_gap|event_model_gap,deterministic_ruleset_v1,,,pending_independent_coder,not_started,"There is no monetary-sovereignty usage cap: foreign-currency stablecoins are not restricted by volume or channel. The practical constraints are the bank-guarantee structure and the AML holder-identification requirement, not distribution cap"
ch-frs-permitted_activity_yield-001,CH,permitted_activity_yield,freshness_unknown|independent_review_gap|event_model_gap,deterministic_ruleset_v1,,,pending_independent_coder,not_started,"Paying yield to holders is NOT prohibited — Switzerland is the clearest survey example of a regime where holder yield is permitted but structurally constrained. Under the bank-guarantee pathway the guarantee must cover any interest earned, "
ch-frs-redemption-001,CH,redemption,freshness_unknown|independent_review_gap|event_model_gap,deterministic_ruleset_v1,,,pending_independent_coder,not_started,"Redemption is a payment claim against the issuer (or, on issuer default, against the guaranteeing bank). There is no statutory at-par redemption mandate; the claim is contractual, backed by the guarantee. Stablecoin holders are not deposit-"
ch-frs-regulatory_authority-001,CH,regulatory_authority,freshness_unknown|independent_review_gap|event_model_gap,deterministic_ruleset_v1,,,pending_independent_coder,not_started,"Switzerland has no bespoke stablecoin statute: stablecoins are regulated by applying existing financial law — the Banking Act and Banking Ordinance (notably Banking Ordinance Art. 5(3)(f), which removes guaranteed funds from the deposit def"
ch-frs-reserve_backing-001,CH,reserve_backing,freshness_unknown|independent_review_gap|event_model_gap,deterministic_ruleset_v1,,,pending_independent_coder,not_started,"There is no statutory reserve schedule (no mandated asset list or percentages). Under the bank-guarantee pathway the protective mechanism is the guarantee, not a prescribed reserve portfolio: the guarantee must cover the principal plus inte"
ch-frs-securities_classification-001,CH,securities_classification,freshness_unknown|independent_review_gap|event_model_gap,deterministic_ruleset_v1,,,pending_independent_coder,not_started,"If a stablecoin arrangement is structured so that assets are held for the account of holders (rather than as a contractual claim against the issuer), collective-investment-scheme rules under the Collective Investment Schemes Act (CISA) may "
cn-prc-aml_kyc-001,CN,aml_kyc,source_acquisition_gap|evidence_classification_gap|freshness_unknown|independent_review_gap|event_model_gap,deterministic_ruleset_v1,,,pending_independent_coder,not_started,"The Anti-Money Laundering Law of the PRC and PBOC AML/CFT regulations apply to all financial institutions, and cryptocurrency-related transactions are explicitly subject to AML scrutiny under the 2017 ICO Notice (94 公告) and supporting circu"
cn-prc-bank_nonbank_routing-001,CN,bank_nonbank_routing,source_acquisition_gap|evidence_classification_gap|freshness_unknown|independent_review_gap|event_model_gap,deterministic_ruleset_v1,,,pending_independent_coder,not_started,"With no domestic issuance pathway, there is no bank/non-bank routing architecture for compliant private-token issuance to characterize."
cn-prc-capital_requirements-001,CN,capital_requirements,source_acquisition_gap|evidence_classification_gap|freshness_unknown|independent_review_gap|event_model_gap,deterministic_ruleset_v1,,,pending_independent_coder,not_started,"Capital requirements are not applicable to domestic issuance. On the indirect Hong Kong pathway, the HKMA HK$25 million paid-up share capital applies to the HK-licensed entity; for PRC-listed parents, capital injected into the HK subsidiary"
cn-prc-cross_border_data-001,CN,cross_border_data,source_acquisition_gap|evidence_classification_gap|freshness_unknown|independent_review_gap|event_model_gap,deterministic_ruleset_v1,,,pending_independent_coder,not_started,"Even where issuance is prohibited, stablecoin-related personal data (wallet KYC and merchant-onboarding data tied to PRC residents) falls within PIPL outbound-transfer scope and is the binding constraint that reaches non-PRC-affiliated cros"
cn-prc-distribution-001,CN,distribution,evidence_classification_gap|freshness_unknown|independent_review_gap|event_model_gap,deterministic_ruleset_v1,,,pending_independent_coder,not_started,"All cryptocurrency promotion, offering, and trading is prohibited within PRC territory, so there is no domestic distribution channel. For PRC-connected groups operating via Hong Kong, the indirect pathway carries three independent layers of"
cn-prc-implementation_status-001,CN,implementation_status,source_acquisition_gap|evidence_classification_gap|freshness_unknown|independent_review_gap|event_model_gap,deterministic_ruleset_v1,,,pending_independent_coder,not_started,The regime is a stable prohibition with no scheduled formal rule change. Key milestones: the 2017 ICO ban (94 公告); the Data Security Law (1 Sep 2021); the reaffirmed comprehensive prohibition extended to offshore exchanges (24 Sep 2021); PI
cn-prc-issuer_pathway-001,CN,issuer_pathway,freshness_unknown|independent_review_gap|event_model_gap,deterministic_ruleset_v1,,,pending_independent_coder,not_started,"There is no domestic stablecoin issuance pathway. The 2017 ICO Notice (94公告) policy continues, and the 2026 Notice (银发〔2026〕42号, which repealed the 2021 Notice) treats token issuance and virtual-currency business activity as prohibited, upg"
cn-prc-monetary_sovereignty-001,CN,monetary_sovereignty,freshness_unknown|independent_review_gap|event_model_gap,deterministic_ruleset_v1,,,pending_independent_coder,not_started,Mainland China occupies the prohibitive pole of the monetary-sovereignty constraint. The eight-ministry Notice 银发〔2026〕42号 (in force 6 Feb 2026) reaffirms that virtual currencies have no legal-tender status and adds an explicit WRITTEN proh
cn-prc-permitted_activity_yield-001,CN,permitted_activity_yield,source_acquisition_gap|evidence_classification_gap|freshness_unknown|independent_review_gap|event_model_gap,deterministic_ruleset_v1,,,pending_independent_coder,not_started,"Because private token issuance and related fundraising are prohibited, there is no lawful domestic issuer that could pay yield; the yield question does not arise within a permitted perimeter."
cn-prc-regulatory_authority-001,CN,regulatory_authority,freshness_unknown|independent_review_gap|event_model_gap,deterministic_ruleset_v1,,,pending_independent_coder,not_started,"No single stablecoin regulator exists because there is no lawful domestic issuance pathway; instead, a coordinated multi-agency prohibition perimeter governs. The eight-ministry Notice 银发〔2026〕42号 (in force 6 Feb 2026), issued jointly with "
cn-prc-reserve_backing-001,CN,reserve_backing,source_acquisition_gap|evidence_classification_gap|freshness_unknown|independent_review_gap|event_model_gap,deterministic_ruleset_v1,,,pending_independent_coder,not_started,"Reserve requirements are not applicable to domestic issuance, which is prohibited. On the indirect pathway through Hong Kong, HKMA reserve requirements apply to the HK-licensed entity; the PRC-connected parent holds no reserve obligation di"
cn-prc-securities_classification-001,CN,securities_classification,freshness_unknown|independent_review_gap|event_model_gap,deterministic_ruleset_v1,,,pending_independent_coder,not_started,Token issuance and exchange activity have been treated as unauthorized public fundraising / illegal financial activity rather than admitted securities offerings; there is no compliant securities pathway for private tokens.
eu-emt-bank_nonbank_routing-001,EU,bank_nonbank_routing,source_acquisition_gap|freshness_unknown|independent_review_gap|event_model_gap,deterministic_ruleset_v1,,,pending_independent_coder,not_started,"Because EMT issuers must be credit institutions or e-money institutions, issuance sits inside the bank / e-money prudential framework; reserve assets must be safeguarded and segregated from the issuer's estate."
eu-emt-cross_border_data-001,EU,cross_border_data,source_acquisition_gap|freshness_unknown|independent_review_gap|event_model_gap,deterministic_ruleset_v1,,,pending_independent_coder,not_started,"Authorization passports across the single market; personal data is governed by the GDPR, which is a data-protection regime rather than a localization barrier to supervisory information-sharing."
eu-emt-disclosure_reporting-001,EU,disclosure_reporting,source_acquisition_gap|freshness_unknown|independent_review_gap|event_model_gap,deterministic_ruleset_v1,,,pending_independent_coder,not_started,"Issuers publish a crypto-asset white paper and are subject to ongoing disclosure; issuers of significant EMTs report to and are supervised by the EBA, with ESMA coordination."
eu-emt-issuer_pathway-001,EU,issuer_pathway,source_acquisition_gap|freshness_unknown|independent_review_gap|event_model_gap,deterministic_ruleset_v1,,,pending_independent_coder,not_started,Issuance of an e-money token is restricted to entities authorized as credit institutions or electronic money institutions; no other entity may issue. An authorizable private token exists.
eu-emt-monetary_sovereignty-001,EU,monetary_sovereignty,freshness_sla_breach|independent_review_gap|event_model_gap,deterministic_ruleset_v1,,,pending_independent_coder,not_started,"For a non-EU-currency EMT, MiCA caps usage as a means of exchange at EUR 200 million per day or 1 million transactions per day (the Article 23 thresholds, applied to significant EMTs via Article 58(3)), measured on a quarterly-average basis"
eu-emt-permitted_activity_yield-001,EU,permitted_activity_yield,freshness_sla_breach|independent_review_gap|event_model_gap,deterministic_ruleset_v1,,,pending_independent_coder,not_started,"MiCA Article 50 imposes a yield ban on EMT holders: holders may not receive interest. The prohibition attaches to the holding of the token, paralleling the US GENIUS §4(a)(11) structure but expressed as a flat ban rather than a 'solely'-qua"
eu-emt-regulatory_authority-001,EU,regulatory_authority,freshness_sla_breach|independent_review_gap,deterministic_ruleset_v1,,,pending_independent_coder,not_started,"The Markets in Crypto-Assets Regulation (MiCA, Reg. (EU) 2023/1114) governs EMTs and ARTs, supervised by the EBA (significant tokens), ESMA, and national competent authorities. MiCA's Article 143(3) transitional grandfathering closes on a s"
eu-emt-reserve_backing-001,EU,reserve_backing,freshness_sla_breach|independent_review_gap|event_model_gap,deterministic_ruleset_v1,,,pending_independent_coder,not_started,MiCA requires EMT reserves to hold at least 60% in bank deposits; ART reserves at least 30% in bank deposits. (Distinct from the US/HK same-currency short-dated-sovereign model.)
eu-emt-securities_classification-001,EU,securities_classification,source_acquisition_gap|freshness_unknown|independent_review_gap|event_model_gap,deterministic_ruleset_v1,,,pending_independent_coder,not_started,E-money tokens and asset-referenced tokens are crypto-assets governed by MiCA and are carved out of the MiFID II financial-instrument (securities) perimeter; they are not treated as transferable securities.
hk-frs-aml_kyc-001,HK,aml_kyc,freshness_unknown|independent_review_gap|event_model_gap,deterministic_ruleset_v1,,,pending_independent_coder,not_started,"The HKMA AML/CFT Guideline for licensed stablecoin issuers applies: standard FATF KYC, transaction monitoring, and suspicious-transaction reporting, plus distribution-channel KYC obligations executed via licensed VATPs and SFC Type 1 corpor"
hk-frs-bank_nonbank_routing-001,HK,bank_nonbank_routing,source_acquisition_gap|freshness_unknown|independent_review_gap|event_model_gap,deterministic_ruleset_v1,,,pending_independent_coder,not_started,Issuance requires an HKMA licence open to bank and non-bank applicants; it is a licensing regime rather than a bank-only monopoly.
hk-frs-capital_requirements-001,HK,capital_requirements,freshness_sla_breach|independent_review_gap|event_model_gap,deterministic_ruleset_v1,,,pending_independent_coder,not_started,"HK$25 million minimum paid-up share capital (or currency equivalent), with HKMA empowered to require more based on business plan; HK$3 million minimum liquid capital; and excess liquid capital equivalent to at least 12 months of operating e"
hk-frs-cross_border_data-001,HK,cross_border_data,freshness_unknown|independent_review_gap|event_model_gap,deterministic_ruleset_v1,,,pending_independent_coder,not_started,Personal data is governed by the Personal Data (Privacy) Ordinance (PDPO). Cross-border data transfer governance under PDPO Section 33 remains pending final commencement. HKMA Supervisory Policy Manual provisions on outsourcing and data hos
hk-frs-disclosure_reporting-001,HK,disclosure_reporting,source_acquisition_gap|freshness_unknown|independent_review_gap|event_model_gap,deterministic_ruleset_v1,,,pending_independent_coder,not_started,"Licensed issuers must meet disclosure, reserve-attestation and reporting requirements under HKMA supervision, with supervisory coordination available."
hk-frs-distribution-001,HK,distribution,freshness_sla_breach|independent_review_gap|event_model_gap,deterministic_ruleset_v1,,,pending_independent_coder,not_started,"Permitted offerors of FRS in Hong Kong are HKMA-licensed FRS issuers, SFC-licensed VATPs, SFC-licensed Type 1 corporations, and Authorised Institutions. Foreign-based issuers of non-HKD-linked FRS may offer to professional investors only. U"
hk-frs-implementation_status-001,HK,implementation_status,source_acquisition_gap|evidence_classification_gap|freshness_unknown|independent_review_gap|event_model_gap,deterministic_ruleset_v1,,,pending_independent_coder,not_started,Live regime. Key milestones: HKMA discussion paper (Jan 2022); FSTB/HKMA consultation (Dec 2023); conclusions + sandbox (Jul 2024); Ordinance and guidelines effective (1 Aug 2025); Ant/JD applications suspended (18-20 Oct 2025); pre-existin
hk-frs-issuer_pathway-001,HK,issuer_pathway,freshness_sla_breach|independent_review_gap|event_model_gap,deterministic_ruleset_v1,,,pending_independent_coder,not_started,"A licence is required for (1) FRS issuers in Hong Kong, (2) issuers outside HK of stablecoins referencing the HK dollar, and (3) entities actively marketing FRS to the HK public. Eligible applicants are companies incorporated in HK under th"
hk-frs-monetary_sovereignty-001,HK,monetary_sovereignty,freshness_sla_breach|independent_review_gap|event_model_gap,deterministic_ruleset_v1,,,pending_independent_coder,not_started,"Hong Kong does not impose a quantitative non-domestic-currency usage cap of the MiCA Article 23 type, but it draws a sovereignty-adjacent line through distribution: foreign-based issuers of non-HKD-linked FRS may offer to professional inves"
hk-frs-permitted_activity_yield-001,HK,permitted_activity_yield,freshness_sla_breach|independent_review_gap|event_model_gap,deterministic_ruleset_v1,,,pending_independent_coder,not_started,The Stablecoins Ordinance Schedule 2 Section 15 (Non-interest bearing) provides that the licensee must not pay any interest on issued stablecoins. Direct payments from issuer to holder are reached by the prohibition.
hk-frs-redemption-001,HK,redemption,freshness_sla_breach|independent_review_gap|event_model_gap,deterministic_ruleset_v1,,,pending_independent_coder,not_started,Redemption at par value within 1 business day of a valid request. Redemption obligations are a continuing licence condition.
hk-frs-regulatory_authority-001,HK,regulatory_authority,freshness_sla_breach|independent_review_gap|event_model_gap,deterministic_ruleset_v1,,,pending_independent_coder,not_started,"The Stablecoins Ordinance (Cap. 656), effective 1 August 2025, establishes the HKMA as primary regulator for FRS issuers, supported by HKMA Explanatory Notes (Licensing; Transitional Provisions), the Guideline on Supervision of Licensed Sta"
hk-frs-reserve_backing-001,HK,reserve_backing,freshness_sla_breach|independent_review_gap|event_model_gap,deterministic_ruleset_v1,,,pending_independent_coder,not_started,"100% backing at all times; the market value of reserve assets must equal or exceed the par value of circulating stablecoins, with HKMA expecting overcollateralisation. Acceptable assets: cash, bank deposits (term <= 3 months), government an"
hk-frs-securities_classification-001,HK,securities_classification,source_acquisition_gap|freshness_unknown|independent_review_gap|event_model_gap,deterministic_ruleset_v1,,,pending_independent_coder,not_started,Specified (fiat-referenced) stablecoins are regulated by the HKMA under the Stablecoins Ordinance and are not treated as securities or futures under the SFO.
jp-epi-aml_kyc-001,JP,aml_kyc,freshness_unknown|independent_review_gap|event_model_gap,deterministic_ruleset_v1,,,pending_independent_coder,not_started,"The FATF Travel Rule is operative (2022 amendment). Intermediaries hold a large share of customer crypto-assets in cold storage, segregate user funds via trust, and enter liability-sharing agreements with issuers."
jp-epi-bank_nonbank_routing-001,JP,bank_nonbank_routing,source_acquisition_gap|freshness_unknown|independent_review_gap|event_model_gap,deterministic_ruleset_v1,,,pending_independent_coder,not_started,"Issuance runs through a closed trichotomy — banks, funds-transfer service providers, and trust companies — with distribution by registered EPI service providers, so roles are separated by licensed function."
jp-epi-capital_requirements-001,JP,capital_requirements,freshness_unknown|independent_review_gap|event_model_gap,deterministic_ruleset_v1,,,pending_independent_coder,not_started,"Capital requirements are set by entity type under the Payment Services Act and the FSA framework (banking, funds-transfer, or trust licensing); there is no separate aggregate stablecoin capital cap."
jp-epi-cross_border_data-001,JP,cross_border_data,source_acquisition_gap|freshness_unknown|independent_review_gap|event_model_gap,deterministic_ruleset_v1,,,pending_independent_coder,not_started,The Act on the Protection of Personal Information (APPI) governs personal data and cross-border handling.
jp-epi-disclosure_reporting-001,JP,disclosure_reporting,source_acquisition_gap|freshness_unknown|independent_review_gap|event_model_gap,deterministic_ruleset_v1,,,pending_independent_coder,not_started,"EPI service providers register with the FSA and are subject to disclosure and reporting obligations, with supervisory coordination available."
jp-epi-distribution-001,JP,distribution,freshness_unknown|independent_review_gap|event_model_gap,deterministic_ruleset_v1,,,pending_independent_coder,not_started,"Foreign-issued stablecoins may be handled by a registered EPIESP if it sets aside reserves in Japan equal to customers' holdings and the foreign issuer does not itself issue, redeem, or solicit to Japanese users. Intermediation and distribu"
jp-epi-implementation_status-001,JP,implementation_status,freshness_unknown|independent_review_gap|event_model_gap,deterministic_ruleset_v1,,,pending_independent_coder,not_started,"Live regime. Milestones: Electronic Payment Instruments regime in force (1 June 2023); USDC admitted via the intermediary channel (March 2025); Act No. 66 of 2025 enacted, relaxing trust-type reserves (June 2025); JPYC Inc. registered as a "
jp-epi-issuer_pathway-001,JP,issuer_pathway,freshness_unknown|independent_review_gap,deterministic_ruleset_v1,,,pending_independent_coder,not_started,"A closed trichotomy: only (a) banks (deposit-type), (b) registered funds-transfer service providers, and (c) trust companies or trust banks (trust-type) may issue Electronic Payment Instruments. Distribution and intermediation require regis"
jp-epi-monetary_sovereignty-001,JP,monetary_sovereignty,freshness_sla_breach|independent_review_gap,deterministic_ruleset_v1,,,pending_independent_coder,not_started,"There is no aggregate cap. Japan does not prohibit foreign-currency tokens; it admits them through a registered Electronic Payment Instruments Exchange Service Provider (EPIESP) that holds reserves in Japan equal to customers' holdings, pro"
jp-epi-permitted_activity_yield-001,JP,permitted_activity_yield,freshness_unknown|independent_review_gap|event_model_gap,deterministic_ruleset_v1,,,pending_independent_coder,not_started,"Holders are not remunerated: Electronic Payment Instruments are payment instruments, and issuer economics come from reserve interest. Whether an intermediary-layer (EPIESP) lending service over an admitted foreign token is issuer-paid yield"
jp-epi-redemption-001,JP,redemption,freshness_unknown|independent_review_gap|event_model_gap,deterministic_ruleset_v1,,,pending_independent_coder,not_started,"Redemption is at par on demand. Funds-transfer-type tokens are subject to a 1,000,000 yen per-transfer cap."
